


Family level;error simulation;LC; 25000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9349772818	0.9009181331	0.9176317783	0.9773794281	0.8404355095	0.9037491778																					
BMP	SILVA	0.9616274764	0.859501055	0.90770071	0.9846248754	0.8408575134	0.9070799362	0.9483023791	0.8802095941	0.9126662442	0.9810021518	0.8406465115	0.905414557	4	2	2	6	7	7	0.50	0.83	0.83	0.17	0.00	0.00	0.33	0.42	0.42
kraken	MiniKraken DB	0.9942598346	0.7585070909	0.8605287147	0.9985711734	0.8957065043	0.9443459167	0.9942598346	0.7585070909	0.8605287147	0.9985711734	0.8957065043	0.9443459167	1	5	3	1	5	4	1.00	0.33	0.67	1.00	0.33	0.50	1.00	0.33	0.58
mothur	SILVA	0.9852577149	0.7242034611	0.8347976043	0.9830709244	0.807803058	0.8868605014																					
mothur	Greengenes	0.9789208746	0.7589641434	0.855023014	0.9858105395	0.8951057451	0.9382710806	0.9820892948	0.7415838023	0.8449103092	0.984440732	0.8514544016	0.912565791	2	6	4	4	6	6	0.83	0.17	0.50	0.50	0.17	0.17	0.67	0.17	0.33
One Codex	RefSeq 65	0.987615559	0.9163295032	0.9506380121	0.9970334968	0.9707557766	0.9837191813																					
One Codex	One Codex 28k	0.7017719674	0.8348777976	0.7625600158	0.9735300316	0.947685869	0.9604341227																					
One Codex	SILVA	0.7549516844	0.6928466438	0.7225671291	0.8502200665	0.8738056774	0.8618515399	0.8147797369	0.8146846482	0.811921719	0.9402611983	0.9307491077	0.935334948	7	3	6	7	2	5	0.00	0.67	0.17	0.00	0.83	0.33	0.00	0.75	0.25
QIIME UCLUST	Greengenes	0.954721345	0.8950462847	0.923921231	0.9788726182	0.9050609681	0.94052084																					
QIIME UCLUST	SILVA	0.9790341367	0.8908364585	0.9328552525	0.9911174661	0.9225247026	0.9555917617	0.9668777409	0.8929413716	0.9283882418	0.9849950422	0.9137928354	0.9480563009	3	1	1	3	4	3	0.67	1.00	1.00	0.67	0.50	0.67	0.67	0.75	0.83
QIIME SortMeRna SUMACLUST	SILVA	0.9763829307	0.8833598889	0.9275449359	0.9921986738	0.9223609992	0.9560060969																					
QIIME SortMeRna SUMACLUST	Greengenes	0.9191764921	0.6354690206	0.7514358488	0.9793567176	0.9326617179	0.955439029	0.9477797114	0.7594144548	0.8394903924	0.9857776957	0.9275113586	0.955722563	5	4	5	2	3	2	0.33	0.50	0.33	0.83	0.67	0.83	0.58	0.58	0.58
CLARK	RefSeq Bacteria	0.9112284672	0.6144649822	0.7339849091	0.9820176154	0.9806181033	0.9813173604	0.9112284672	0.6144649822	0.7339849091	0.9820176154	0.9806181033	0.9813173604	6	7	7	5	1	1	0.17	0.00	0.00	0.33	1.00	1.00	0.25	0.50	0.50
																												
																												
Family level;error simulation;MC;25000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9697581476	0.9699579659	0.9698580464	0.9923083763	0.8989809482	0.9433419979																					
BMP	SILVA	0.9889225001	0.9381972514	0.962892286	0.995855615	0.8972176497	0.9439668828	0.9793403239	0.9540776087	0.9663751662	0.9940819957	0.898099299	0.9436544404	5	2	2	5	7	7	0.33	0.83	0.83	0.33	0.00	0.00	0.33	0.42	0.42
kraken	MiniKraken DB	0.9959130513	0.8902404753	0.9401165872	0.9997515631	0.9660318476	0.9826025028	0.9959130513	0.8902404753	0.9401165872	0.9997515631	0.9660318476	0.9826025028	1	5	4	1	4	3	1.00	0.33	0.50	1.00	0.50	0.67	1.00	0.42	0.58
mothur	SILVA	0.996267969	0.8677314499	0.9275679386	0.994851822	0.8930279285	0.9411939097																					
mothur	Greengenes	0.9950741163	0.8764663346	0.932011876	0.9949639663	0.9209934094	0.9565507742	0.9956710427	0.8720988923	0.9297899073	0.9949078942	0.907010669	0.948872342	2	6	5	4	6	6	0.83	0.17	0.33	0.50	0.17	0.17	0.67	0.17	0.25
One Codex	RefSeq 65	0.994893935	0.9633798288	0.9788833068	0.999032141	0.9918721973	0.9954392944																					
One Codex	One Codex 28k	0.7315864617	0.9362639725	0.8213662722	0.9928948437	0.9850956697	0.9889798807																					
